control_id,control_name,description,nist_csf_function,nist_csf_category,nist_csf_subcategory,iso_27001_reference,implementation_status,control_owner,evidence_link,automation_potential,maturity_score_current,maturity_score_target,kpi
CTRL-001,Enterprise Asset Inventory,"Maintain a centralized inventory of endpoints, servers, cloud assets, and applications with ownership metadata.",Identify,ID.AM Asset Management,ID.AM-1,A.5.9,In Progress,IT Operations,evidence/asset-inventory-reconciliation-q1.md,High,2.8,4.5,95% of production assets discovered within 24 hours
CTRL-002,Software Asset Register,"Track authorized software and SaaS usage including versioning, licensing, and business owners.",Identify,ID.AM Asset Management,ID.AM-2,A.8.1,Implemented,IT Operations,evidence/software-asset-register.csv,Medium,3.6,4.4,100% tier-1 applications mapped to owners
CTRL-003,Business Context Mapping,"Document critical services, dependencies, and data flows to support risk-informed protection decisions.",Identify,ID.GV Governance,ID.GV-1,A.5.1,Needs Review,GRC,evidence/business-service-context-model.vsdx,Low,2.5,4.0,All crown-jewel services have approved dependency maps
CTRL-004,Cyber Risk Register Governance,"Maintain risk intake, scoring, acceptance, and escalation workflows with quarterly governance reviews.",Identify,ID.RA Risk Assessment,ID.RA-1,A.5.4,Implemented,GRC,evidence/risk-committee-minutes-q1.pdf,Medium,3.7,4.6,90% of identified risks triaged within 10 business days
CTRL-005,Threat Modeling Standard,Perform threat modeling for major system changes and new applications before production release.,Identify,ID.RA Risk Assessment,ID.RA-2,A.8.28,In Progress,Security Engineering,evidence/threat-model-template.docx,Low,2.4,4.2,100% of high-risk projects complete threat model prior to go-live
CTRL-006,Third-Party Risk Assessments,"Assess critical vendors for security, privacy, and resiliency controls before onboarding and annually thereafter.",Identify,ID.RA Risk Assessment,ID.RA-3,A.5.19,In Progress,GRC,evidence/third-party-assessment-log.xlsx,Medium,2.7,4.3,100% critical vendors assessed annually
CTRL-007,Policy Framework Management,"Publish and annually review information security policies, standards, and control procedures.",Identify,ID.GV Governance,ID.GV-2,A.5.1,Implemented,GRC,evidence/security-policy-library-index.md,Low,3.9,4.5,100% mandatory policy reviews completed on schedule
CTRL-008,Security Roles and Accountability,"Define and communicate security responsibilities across first, second, and third lines of defense.",Identify,ID.GV Governance,ID.GV-3,A.5.2,Implemented,GRC,evidence/raci-security-governance.xlsx,Low,3.8,4.4,All security control owners formally assigned and acknowledged
CTRL-009,Privileged Access Management,"Enforce least privilege, just-in-time elevation, and session recording for privileged accounts.",Protect,PR.AC Access Control,PR.AC-1,A.8.2,In Progress,Identity & Access Management,evidence/pam-onboarding-status-q1.md,High,2.9,4.6,95% of privileged sessions brokered through PAM
CTRL-010,MFA Enforcement,"Require phishing-resistant MFA for workforce SSO, VPN, and administrative access paths.",Protect,PR.AC Access Control,PR.AC-7,A.8.5,Implemented,Identity & Access Management,evidence/mfa-coverage-dashboard-q1.png,High,3.5,4.7,98% of active accounts protected by MFA
